Route_Name,Route_Link,Bus_Name,Bus_Type,Departing_Time,Duration,Reaching_Time,Star_Rating,Price,Seat_Availability
Delhi to Bareilly,https://www.redbus.in/bus-tickets/delhi-to-bareilly,UPSRTC - GND0081,Ordinary Non AC Seater 2+3,15:30,06h 00m,21:30,3.3,INR 426,52 Seats available
Delhi to Bareilly,https://www.redbus.in/bus-tickets/delhi-to-bareilly,UPSRTC - KSB0083,Shatabdi AC Seater 2+2,15:46,06h 00m,21:46,3.3,INR 598,35 Seats available
Delhi to Bareilly,https://www.redbus.in/bus-tickets/delhi-to-bareilly,UPSRTC - RPD0021,Ordinary Non AC Seater 2+3,15:50,06h 00m,21:50,3.3,INR 418,52 Seats available
Delhi to Bareilly,https://www.redbus.in/bus-tickets/delhi-to-bareilly,UPSRTC - STD0147,Ordinary Non AC Seater 2+3,16:00,07h 15m,23:15,3.3,INR 448,52 Seats available
Delhi to Bareilly,https://www.redbus.in/bus-tickets/delhi-to-bareilly,UPSRTC - BLP0032,Ordinary Non AC Seater 2+3,16:01,05h 59m,22:00,3.3,INR 426,52 Seats available
Delhi to Bareilly,https://www.redbus.in/bus-tickets/delhi-to-bareilly,UPSRTC - HDD0085,Ordinary Non AC Seater 2+3,16:06,09h 12m,01:18,3.3,INR 450,52 Seats available
Delhi to Bareilly,https://www.redbus.in/bus-tickets/delhi-to-bareilly,UPSRTC - BLY0076,Ordinary Non AC Seater 2+3,16:30,05h 00m,21:30,2.8,INR 415,52 Seats available
Delhi to Bareilly,https://www.redbus.in/bus-tickets/delhi-to-bareilly,UPSRTC - RKD0109,Janrath AC Seater 2+2,16:31,05h 29m,22:00,3.5,INR 598,34 Seats available
Delhi to Bareilly,https://www.redbus.in/bus-tickets/delhi-to-bareilly,UPSRTC - BLY0148,Rajdhani Non AC Seater 2+3,17:00,05h 00m,22:00,3.3,INR 448,52 Seats available
Delhi to Bareilly,https://www.redbus.in/bus-tickets/delhi-to-bareilly,UPSRTC - BRT0036,Ordinary Non AC Seater 2+3,17:00,07h 10m,00:10,3.3,INR 449,52 Seats available
Delhi to Bareilly,https://www.redbus.in/bus-tickets/delhi-to-bareilly,UPSRTC - SRG0229,Ordinary Non AC Seater 2+3,17:00,05h 35m,22:35,3.3,INR 418,52 Seats available
Delhi to Bareilly,https://www.redbus.in/bus-tickets/delhi-to-bareilly,UPSRTC - BLY0107,Janrath AC Seater 2+2,17:02,04h 43m,21:45,2.9,INR 598,35 Seats available
Delhi to Bareilly,https://www.redbus.in/bus-tickets/delhi-to-bareilly,UPSRTC - HDD0090,Ordinary Non AC Seater 2+3,17:04,09h 46m,02:50,3.3,INR 444,52 Seats available
Delhi to Bareilly,https://www.redbus.in/bus-tickets/delhi-to-bareilly,UPSRTC - AWD0225,Shatabdi AC Seater 2+2,17:30,05h 25m,22:55,3.3,INR 598,37 Seats available
Delhi to Bareilly,https://www.redbus.in/bus-tickets/delhi-to-bareilly,UPSRTC - GRH0125,Ordinary Non AC Seater 2+3,17:30,05h 50m,23:20,3.3,INR 418,52 Seats available
Delhi to Bareilly,https://www.redbus.in/bus-tickets/delhi-to-bareilly,UPSRTC - KSB0892,Shatabdi AC Seater 2+2,17:35,06h 05m,23:40,3.3,INR 598,37 Seats available
Delhi to Bareilly,https://www.redbus.in/bus-tickets/delhi-to-bareilly,UPSRTC - HDD0092,Ordinary Non AC Seater 2+3,18:01,06h 14m,00:15,3.3,INR 450,52 Seats available
Delhi to Bareilly,https://www.redbus.in/bus-tickets/delhi-to-bareilly,UPSRTC - HDD0082,Ordinary Non AC Seater 2+3,18:02,05h 13m,23:15,3.3,INR 444,52 Seats available
Delhi to Bareilly,https://www.redbus.in/bus-tickets/delhi-to-bareilly,UPSRTC - RKD0137,Shatabdi AC Seater 2+2,18:05,05h 00m,23:05,2.6,INR 598,37 Seats available
Delhi to Bareilly,https://www.redbus.in/bus-tickets/delhi-to-bareilly,UPSRTC - HDD0006,Janrath AC Seater 2+2,18:30,06h 30m,01:00,3.3,INR 602,36 Seats available
Delhi to Bareilly,https://www.redbus.in/bus-tickets/delhi-to-bareilly,UPSRTC - HDD0113,Rajdhani Non AC Seater 2+3,18:31,06h 29m,01:00,3.3,INR 444,51 Seats available
Delhi to Bareilly,https://www.redbus.in/bus-tickets/delhi-to-bareilly,UPSRTC - SRG0226,Ordinary Non AC Seater 2+3,19:00,05h 19m,00:19,3.3,INR 450,52 Seats available
Delhi to Bareilly,https://www.redbus.in/bus-tickets/delhi-to-bareilly,UPSRTC - RKD0113,Janrath AC Seater 2+2,19:01,05h 30m,00:31,1.6,INR 598,36 Seats available
Delhi to Bareilly,https://www.redbus.in/bus-tickets/delhi-to-bareilly,UPSRTC - PLB0056,Rajdhani Non AC Seater 2+3,19:01,05h 59m,01:00,3.3,INR 454,51 Seats available
Delhi to Bareilly,https://www.redbus.in/bus-tickets/delhi-to-bareilly,UPSRTC - SBD0110,Pink Express AC Seater 2+2,19:01,05h 59m,01:00,3.3,INR 598,41 Seats available
Delhi to Bareilly,https://www.redbus.in/bus-tickets/delhi-to-bareilly,UPSRTC - HDD0145,Ordinary Non AC Seater 2+3,19:02,08h 08m,03:10,3.3,INR 450,52 Seats available
