Route_Name,Route_Link,Bus_Name,Bus_Type,Departing_Time,Duration,Reaching_Time,Star_Rating,Price,Seat_Availability,State_Transport
Siliguri to Kolkata,https://www.redbus.in/bus-tickets/siliguri-to-kolkata,Easy Ride,Volvo 9600 Multi-Axle A/C Sleeper (2+1),20:15,12h 55m,09:10,4.8,INR 1500,20 Seats available,North Bengal
Siliguri to Kolkata,https://www.redbus.in/bus-tickets/siliguri-to-kolkata,Lokenath Bus Service,Volvo Multi Axle B11R AC Seater\Sleeper (2+1),21:00,11h 30m,08:30,4.2,INR 1200,14 Seats available,North Bengal
Siliguri to Kolkata,https://www.redbus.in/bus-tickets/siliguri-to-kolkata,Shyamoli Paribahan Pvt Ltd,Scania Multi-Axle AC Semi Sleeper (2+2),20:00,12h 15m,08:15,4.3,INR 899,21 Seats available,North Bengal
Siliguri to Kolkata,https://www.redbus.in/bus-tickets/siliguri-to-kolkata,Shyamoli Paribahan Pvt Ltd,Volvo 9600 A/C Seater/Sleeper (2+1),19:45,11h 35m,07:20,4.5,INR 1200,6 Seats available,North Bengal
Siliguri to Kolkata,https://www.redbus.in/bus-tickets/siliguri-to-kolkata,Easy Ride,Volvo 9600 Multi-Axle A/C Sleeper (2+1),19:30,12h 55m,08:25,5.0,INR 1500,7 Seats available,North Bengal
Siliguri to Kolkata,https://www.redbus.in/bus-tickets/siliguri-to-kolkata,Modern Travels,Bharat Benz A/C Sleeper (2+1),20:20,11h 25m,07:45,4.7,INR 1300,7 Seats available,North Bengal
Siliguri to Kolkata,https://www.redbus.in/bus-tickets/siliguri-to-kolkata,Express Line,Volvo 9600 A/C Seater/Sleeper (2+1),20:00,12h 00m,08:00,4.4,INR 1199,14 Seats available,North Bengal
Siliguri to Kolkata,https://www.redbus.in/bus-tickets/siliguri-to-kolkata,AdExpress Line,Volvo Multi Axle A/C Sleeper I-Shift B11R (2+1),19:30,12h 20m,07:50,4.4,INR 1299,20 Seats available,North Bengal
Siliguri to Kolkata,https://www.redbus.in/bus-tickets/siliguri-to-kolkata,Easy Ride,Volvo 9600 Multi-Axle A/C Sleeper (2+1),20:00,11h 25m,07:25,4.8,INR 1500,12 Seats available,North Bengal
Siliguri to Kolkata,https://www.redbus.in/bus-tickets/siliguri-to-kolkata,Express Line,Volvo 9600 Multi-Axle A/C Sleeper (2+1),19:45,11h 25m,07:10,4.5,INR 1499,13 Seats available,North Bengal
Siliguri to Kolkata,https://www.redbus.in/bus-tickets/siliguri-to-kolkata,Lokenath Bus Service,Volvo 9600 Multi-Axle A/C Sleeper (2+1),19:55,11h 50m,07:45,4.5,INR 1500,5 Seats available,North Bengal
Siliguri to Kolkata,https://www.redbus.in/bus-tickets/siliguri-to-kolkata,Greenline,Volvo 9600 A/C Seater/Sleeper (2+1),19:45,12h 30m,08:15,4.4,INR 1200,8 Seats available,North Bengal
Siliguri to Kolkata,https://www.redbus.in/bus-tickets/siliguri-to-kolkata,Shyamoli Paribahan Pvt Ltd,Volvo 9600 Multi-Axle A/C Sleeper (2+1),19:30,12h 35m,08:05,4.6,INR 1500,10 Seats available,North Bengal
Siliguri to Kolkata,https://www.redbus.in/bus-tickets/siliguri-to-kolkata,Lokenath Bus Service,Volvo Multi-Axle A/C Seater/Sleeper (2+1),19:45,11h 00m,06:45,4.2,INR 1200,21 Seats available,North Bengal
Siliguri to Kolkata,https://www.redbus.in/bus-tickets/siliguri-to-kolkata,Greenline,Volvo 9600 Multi-Axle A/C Sleeper (2+1),19:45,11h 45m,07:30,4.3,INR 1500,1 Seat available,North Bengal
Siliguri to Kolkata,https://www.redbus.in/bus-tickets/siliguri-to-kolkata,Shyamoli Paribahan Pvt Ltd,Volvo Multi-Axle A/C seater/sleeper (2+1),19:30,11h 50m,07:20,4.3,INR 1200,4 Seats available,North Bengal
