Route_Name,Route_Link,Bus_Name,Bus_Type,Departing_Time,Duration,Reaching_Time,Star_Rating,Price,Seat_Availability,State_Transport
Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,FRESHBUS,Electric A/C Seater (2+2),00:20,06h 10m,06:30,4.6,829,20 Seats available,Telangana
Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,FRESHBUS,Electric A/C Seater (2+2),23:10,06h 25m,05:35,4.5,829,14 Seats available,Telangana
Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Zingbus Plus,A/C Seater / Sleeper (2+1),23:38,06h 27m,06:05,4.5,837,7 Seats available,Telangana
Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,AdIntrCity SmartBus,A/C Seater / Sleeper (2+1),00:15,06h 10m,06:25,4.2,INR 829,16 Seats available,Telangana
Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,IntrCity SmartBus,Scania AC Multi Axle Sleeper (2+1),23:59,06h 31m,06:30,4.5,INR 1179,14 Seats available,Telangana
Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,IntrCity SmartBus,AC Sleeper (2+1),23:30,07h 15m,06:45,4.6,INR 1499,7 Seats available,Telangana
Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,IntrCity SmartBus,Bharat Benz A/C Seater /Sleeper (2+1),23:50,05h 45m,05:35,4.3,INR 699,20 Seats available,Telangana
Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,FRESHBUS,Electric A/C Seater (2+2),22:25,06h 30m,04:55,4.4,649,16 Seats available,Telangana
Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,FRESHBUS,Electric A/C Seater (2+2),23:40,06h 15m,05:55,4.4,829,20 Seats available,Telangana
Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,NueGo,Electric A/C Seater (2+2),22:30,06h 55m,05:25,4.3,664,11 Seats available,Telangana
Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Sri KVR Travels,A/C Sleeper (2+1),23:58,05h 02m,05:00,5.0,INR 1790,2 Seats available,Telangana
Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Sumair Roadlines,NON A/C Seater (2+2),23:59,05h 31m,05:30,4.0,INR 1700,6 Seats available,Telangana
Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Mozo travels,A/C Seater / Sleeper (2+1),01:30,04h 30m,06:00,4.4,INR 1999,2 Seats available,Telangana
Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Mozo travels,A/C Seater / Sleeper (2+1),01:30,04h 30m,06:00,4.4,INR 1999,2 Seats available,Telangana
Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Sri Venkateswara Travels,NON A/C Semi Sleeper / Sleeper (2+1),23:45,0-18h 0-10m,06:35,3.7,INR 1700,3 Seats available,Telangana
Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Morning Star Travels,Volvo Multi Axle B9R A/C Sleeper (2+1),18:00,03h 45m,21:45,2.3,INR 1400,1 Seat available,Telangana
Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Sri KVR Travels,A/C Seater / Sleeper (2+1),23:40,05h 20m,05:00,2.6,INR 1790,1 Seat available,Telangana
Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Vihari Travels ,A/C Sleeper (2+1),23:59,04h 31m,04:30,2.2,INR 1799,18 Seats available,Telangana
Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Morning Star Travels,A/C Sleeper (2+1),01:30,03h 30m,05:00,2.2,INR 1790,5 Seats available,Telangana
Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Morning Star Travels,A/C Sleeper (2+1),01:30,03h 30m,05:00,0.0,INR 1790,1 Seat available,Telangana
Hyderabad to Khammam,https://www.redbus.in/bus-tickets/hyderabad-to-khammam,TGSRTC - 1320,LAHARI A/C SLEEPER CUM SEATER,16:20,04h 50m,21:10,2.4,INR 389,32 Seats available,Telangana
Hyderabad to Khammam,https://www.redbus.in/bus-tickets/hyderabad-to-khammam,TGSRTC - 8796,RAJDHANI (A.C. Semi Sleeper),16:35,03h 45m,20:20,2.6,INR 389,37 Seats available,Telangana
Hyderabad to Khammam,https://www.redbus.in/bus-tickets/hyderabad-to-khammam,TGSRTC - 1953,GARUDA PLUS (VOLVO / BENZ A.C Multi Axle),16:45,03h 45m,20:30,2.9,INR 389,11 Seats available,Telangana
Hyderabad to Khammam,https://www.redbus.in/bus-tickets/hyderabad-to-khammam,TGSRTC - 64363,Super Luxury (Non AC Seater 2+2 Push Back),17:50,04h 30m,22:20,3.6,INR 320,27 Seats available,Telangana
Hyderabad to Khammam,https://www.redbus.in/bus-tickets/hyderabad-to-khammam,TGSRTC - 8682,RAJADHANI AC (CONVERTED METRO LUXURY),18:30,04h 00m,22:30,3.7,INR 389,34 Seats available,Telangana
Hyderabad to Khammam,https://www.redbus.in/bus-tickets/hyderabad-to-khammam,TGSRTC - 8618,Super Luxury (Non AC Seater 2+2 Push Back),18:40,04h 20m,23:00,4.1,INR 320,30 Seats available,Telangana
Hyderabad to Khammam,https://www.redbus.in/bus-tickets/hyderabad-to-khammam,TGSRTC - 7645,Super Luxury (Non AC Seater 2+2 Push Back),19:30,06h 15m,01:45,2.2,INR 320,31 Seats available,Telangana
Hyderabad to Khammam,https://www.redbus.in/bus-tickets/hyderabad-to-khammam,TGSRTC - 64021,RAJDHANI (A.C. Semi Sleeper),19:30,04h 00m,23:30,4.2,INR 389,37 Seats available,Telangana
Hyderabad to Khammam,https://www.redbus.in/bus-tickets/hyderabad-to-khammam,TGSRTC - 8601,Super Luxury (Non AC Seater 2+2 Push Back),19:40,04h 05m,23:45,3.8,INR 320,31 Seats available,Telangana
Hyderabad to Khammam,https://www.redbus.in/bus-tickets/hyderabad-to-khammam,TGSRTC - 64341,Super Luxury (Non AC Seater 2+2 Push Back),20:50,06h 20m,03:10,3.9,INR 320,6 Seats available,Telangana
Hyderabad to Khammam,https://www.redbus.in/bus-tickets/hyderabad-to-khammam,TGSRTC - 8825,Super Luxury (Non AC Seater 2+2 Push Back),21:00,05h 40m,02:40,3.2,INR 320,7 Seats available,Telangana
Hyderabad to Khammam,https://www.redbus.in/bus-tickets/hyderabad-to-khammam,TGSRTC - 8856,RAJDHANI (A.C. Semi Sleeper),21:00,06h 00m,03:00,4.3,INR 389,2 Seats available,Telangana
